Rxn name	Formula	Gene-reaction association	LB	UB	Objective
11OXPENT	d11oxpen_c[c] + h_c[c] + nadph_c[c] + o2_c[c]  -> h2o_c[c] + nadp_c[c] + pentlacd_c[c] 	XNR_1954	  0.00	   Inf	  0.00
24DCLPMO	24dclphen_c[c] + h_c[c] + nadph_c[c] + o2_c[c]  -> 3dclcatc_c[c] + h2o_c[c] + nadp_c[c] 	XNR_0590	  0.00	   Inf	  0.00
24DHX5M6OI	24dh5m6o24d_c[c]  -> 4h2mohexn_c[c] + h_c[c] 	XNR_1266	  0.00	   Inf	  0.00
2ABZMOx	anthrancoa_c[c] + 2 h_c[c] + 2 nadh_c[c] + o2_c[c]  -> 2a5ocyc1eccoa_c[c] + h2o_c[c] + 2 nad_c[c] 	XNR_0109	  0.00	   Inf	  0.00
2ABZMOy	anthrancoa_c[c] + 2 h_c[c] + 2 nadph_c[c] + o2_c[c]  -> 2a5ocyc1eccoa_c[c] + h2o_c[c] + 2 nadp_c[c] 	XNR_0109	  0.00	   Inf	  0.00
2K3DRHAM	2dh3dorham_c[c] + nad_c[c]  -> 24ddhrham_c[c] + h_c[c] + nadh_c[c] 	XNR_1752	  0.00	   Inf	  0.00
2OGLUAH	HC00591_c[c] + h2o_c[c]  -> akg_c[c] + nh4_c[c] 	XNR_3074	  0.00	   Inf	  0.00
2OH3EDISO	2hdhepdd_c[c]  -> 2ohed_c[c] 	XNR_1266	  0.00	   Inf	  0.00
33BIFLAV	2 flaviolin_c[c] + h_c[c] + nadph_c[c] + o2_c[c]  -> 33biflav_c[c] + 2 h2o_c[c] + nadp_c[c] 	XNR_5809	  0.00	   Inf	  0.00
38BIFLAVS	2 flaviolin_c[c] + h_c[c] + nadph_c[c] + o2_c[c]  -> 38biflav_c[c] + 2 h2o_c[c] + nadp_c[c] 	XNR_5809	  0.00	   Inf	  0.00
38DPCLOR	dvpchlda_c[c] + h_c[c] + nadph_c[c]  -> dvchlda_c[c] + nadp_c[c] 	XNR_0646 or XNR_0883 or XNR_0949 or XNR_1292	  0.00	   Inf	  0.00
3K5AHC	5am3ohex_c[c] + accoa_c[c]  -> 3ambutcoa_c[c] + acac_c[c] 	XNR_0009 or XNR_5930	  0.00	   Inf	  0.00
3OCHOCDH	3oce26ocoa_c[c] + acceptor_c[c]  -> 3ocd26ocoa_c[c] + donor_c[c] 	XNR_5819	  0.00	   Inf	  0.00
3OXCOADH	3oc4en24ocoa_c[c] + acceptor_c[c]  -> 3ocdncoa_c[c] + donor_c[c] 	XNR_5818	  0.00	   Inf	  0.00
4HDAPMO	donor_c[c] + haphenon_c[c] + o2_c[c]  -> 4hphac_c[c] + acceptor_c[c] + h2o_c[c] 	XNR_2110	  0.00	   Inf	  0.00
4HYBUT	atp_c[c] + coa_c[c] + ghb_c[c]  -> 4hbutcoa_c[c] + adp_c[c] + pi_c[c] 	XNR_1022	  0.00	   Inf	  0.00
4NIPHOM	4nitroph_c[c] + 2 h_c[c] + nadh_c[c] + o2_c[c]  -> 4nitrocc_c[c] + h2o_c[c] + nad_c[c] 	XNR_2414	  0.00	   Inf	  0.00
4SBZADH	4sulbza_c[c] + h2o_c[c] + nad_c[c]  -> 4sulfbenz_c[c] + 2 h_c[c] + nadh_c[c] 	XNR_5809	  0.00	   Inf	  0.00
5OP3TCCL	5c2oh3ed_c[c] + h_c[c]  -> 2hdhepdd_c[c] + co2_c[c] 	XNR_1266	  0.00	   Inf	  0.00
AAMYLe	14glucan_e[e]  -> malthx_e[e] 	XNR_4650	  0.00	   Inf	  0.00
ABTDG	abt__D_c[c] + nad_c[c]  -> h_c[c] + nadh_c[c] + xylu__D_c[c] 	XNR_2050	  0.00	   Inf	  0.00
ACITRULD	h2o_c[c] + nacitrul__L_c[c]  -> ac_c[c] + citr__L_c[c] 	XNR_0442 or XNR_5151	  0.00	   Inf	  0.00
ACODA	acorn_c[c] + h2o_c[c]  -> ac_c[c] + orn_c[c] 	XNR_0442 or XNR_5151	  0.00	   Inf	  0.00
ACPScda	apoACPcda_c[c] + coa_c[c]  -> ACPcda_c[c] + h_c[c] + pap_c[c] 	XNR_5716	  0.00	   Inf	  0.00
ACTCOALIG	ac_c[c] + atp_c[c] + coa_c[c]  -> accoa_c[c] + adp_c[c] + pi_c[c] 	XNR_1022	  0.00	   Inf	  0.00
ACTS15	dnpaACPact_c[c] + h_c[c] + nadph_c[c]  -> ddhkACPact_c[c] + nadp_c[c] 	XNR_1850 or XNR_2302 or XNR_3973 or XNR_4193	  0.00	   Inf	  0.00
ADCPS1	adcobhex_c[c] + appl_c[c] + atp_c[c]  -> adocbi_c[c] + adp_c[c] + h_c[c] + pi_c[c] 	XNR_4973	  0.00	   Inf	  0.00
ADCPS2	adcobhex_c[c] + applp_c[c] + atp_c[c]  -> adocbip_c[c] + adp_c[c] + h_c[c] + pi_c[c] 	XNR_4973	  0.00	   Inf	  0.00
ADCYRS	adcobdam_c[c] + 4 atp_c[c] + 4 gln__L_c[c] + 4 h2o_c[c]  -> adcobhex_c[c] + 4 adp_c[c] + 4 glu__L_c[c] + 4 h_c[c] + 4 pi_c[c] 	XNR_4972	  0.00	   Inf	  0.00
