Rxn name	Formula	Gene-reaction association	LB	UB	Objective
13DAMPPabcpp	13dampp_p[Periplasm] + atp_c[Cytosol] + h2o_c[Cytosol]  -> 13dampp_c[Cytosol] + adp_c[Cytosol] + h_c[Cytosol] + pi_c[Cytosol] 		  0.00	999999.00	  0.00
13DAMPPtex	13dampp_e[Extra_organism]  -> 13dampp_p[Periplasm] 		  0.00	999999.00	  0.00
15DAPabcpp	15dap_p[Periplasm] + atp_c[Cytosol] + h2o_c[Cytosol]  -> 15dap_c[Cytosol] + adp_c[Cytosol] + h_c[Cytosol] + pi_c[Cytosol] 		  0.00	999999.00	  0.00
1P2CBXLCYCL	5a2opntn_c[Cytosol]  -> 1p2cbxl_c[Cytosol] + h2o_c[Cytosol] + h_c[Cytosol] 	PP_s0001	  0.00	999999.00	  0.00
1PQQS	2pqq_c[Cytosol] + o2_c[Cytosol]  -> 1pqq_c[Cytosol] 		  0.00	999999.00	  0.00
23CTI1	decoa_c[Cytosol]  -> dc2coa_c[Cytosol] 	PP_2136	  0.00	999999.00	  0.00
23CTI2	dded3coa_c[Cytosol]  -> dd2coa_c[Cytosol] 	PP_2136	  0.00	999999.00	  0.00
23CTI3	dd_3_6_coa_c[Cytosol]  -> dd6_2_coa_c[Cytosol] 	PP_2136	  0.00	999999.00	  0.00
25DKGLCNt2rpp	25dkglcn_p[Periplasm] + h_p[Periplasm]  -> 25dkglcn_c[Cytosol] + h_c[Cytosol] 		  0.00	999999.00	  0.00
25DKGLCNtex	25dkglcn_e[Extra_organism]  -> 25dkglcn_p[Periplasm] 		  0.00	999999.00	  0.00
26DAHtex	26dap__M_e[Extra_organism]  -> 26dap__M_p[Periplasm] 		  0.00	999999.00	  0.00
2AACLPGT160	2agpg160_c[Cytosol] + palmACP_c[Cytosol]  -> ACP_c[Cytosol] + pg160_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AACLPGT161	2agpg161_c[Cytosol] + hdeACP_c[Cytosol]  -> ACP_c[Cytosol] + pg161_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AACLPGT180	2agpg180_c[Cytosol] + ocdcaACP_c[Cytosol]  -> ACP_c[Cytosol] + pg180_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AACLPGT181	2agpg181_c[Cytosol] + octeACP_c[Cytosol]  -> ACP_c[Cytosol] + pg181_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT160	2agpe160_c[Cytosol] + palmACP_c[Cytosol]  -> ACP_c[Cytosol] + pe160_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT161	2agpe161_c[Cytosol] + hdeACP_c[Cytosol]  -> ACP_c[Cytosol] + pe161_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT180	2agpe180_c[Cytosol] + ocdcaACP_c[Cytosol]  -> ACP_c[Cytosol] + pe180_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT181	2agpe181_c[Cytosol] + octeACP_c[Cytosol]  -> ACP_c[Cytosol] + pe181_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPE160tipp	2agpe160_p[Periplasm]  -> 2agpe160_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPE161tipp	2agpe161_p[Periplasm]  -> 2agpe161_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPE180tipp	2agpe180_p[Periplasm]  -> 2agpe180_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPE181tipp	2agpe181_p[Periplasm]  -> 2agpe181_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPG160tipp	2agpg160_p[Periplasm]  -> 2agpg160_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPG161tipp	2agpg161_p[Periplasm]  -> 2agpg161_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPG180tipp	2agpg180_p[Periplasm]  -> 2agpg180_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2AGPG181tipp	2agpg181_p[Periplasm]  -> 2agpg181_c[Cytosol] 	PP_1700	  0.00	999999.00	  0.00
2DHGLCNkt_tpp	2dhglcn_p[Periplasm] + h_p[Periplasm]  -> 2dhglcn_c[Cytosol] + h_c[Cytosol] 	PP_3377	  0.00	999999.00	  0.00
2DHGLCNtex	2dhglcn_e[Extra_organism]  -> 2dhglcn_p[Periplasm] 		  0.00	999999.00	  0.00
2PQQS	3pqq_c[Cytosol]  -> 2pqq_c[Cytosol] + h2o_c[Cytosol] 		  0.00	999999.00	  0.00
34DHCINMtex	34dhcinm_e[Extra_organism]  -> 34dhcinm_p[Periplasm] 		  0.00	999999.00	  0.00
